  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1              inf   1.00000000e+00
     1       2   1.00000000e+00   8.00000000e-01
     1       3   9.41176471e-01   5.62342819e-03
     1       4   4.65220766e-03   9.74458191e-02
     1       5   1.90994998e-02   7.61412696e-02
     1       6   1.37357319e-04   3.21898814e-03
     2       1   6.89408320e-01   3.89899921e+00
     2       2   9.83206724e-02   4.22365306e-02
     2       3   4.17705224e-03   3.24900692e-02
     2       4   4.02959606e-04   3.69843529e-03
     3       1   2.81317238e-01   7.02207725e-01
     3       2   1.21472636e-03   4.11508638e-02
     3       3   1.25953146e-03   5.76172997e-03
     3       4   3.67349709e-05   1.81459572e-04
     4       1   1.93976679e-01   4.26672793e-01
     4       2   1.46954372e-03   2.65941408e-02
     4       3   1.14886072e-03   2.94164587e-03
     5       1   1.57667437e-01   3.58155885e-01
     5       2   1.84661330e-03   4.39040488e-02
     5       3   1.96126629e-04   7.25149505e-04
     6       1   1.28821423e-01   4.71743224e-01
     6       2   4.83629737e-04   1.86308966e-02
     6       3   5.57500971e-05   2.63681454e-03
     7       1   1.10676605e-01   4.67587478e-01
     7       2   2.46144415e-04   1.66077874e-02
     7       3   1.96490747e-05   3.39841584e-04
     8       1   9.86094440e-02   4.84943431e-01
     8       2   1.03430925e-04   9.60539804e-03
     8       3   1.17448496e-04   8.81209848e-04
     9       1   8.84147884e-02   5.34027876e-01
     9       2   1.00363965e-04   2.03727958e-02
     9       3   3.68545457e-05   4.76886896e-04
    10       1   8.10666198e-02   5.25573661e-01
    10       2   3.16597018e-05   2.00907655e-02
    10       3   8.27186879e-06   4.29350936e-04
    11       1   7.45724166e-02   5.33257632e-01
    11       2   4.25176344e-05   9.03300599e-03
    11       3   2.53707388e-06   2.10911836e-04
    12       1   6.84211257e-02   5.31204814e-01
    12       2   2.67190000e-05   1.18328233e-02
    12       3   4.55021004e-06   1.19327286e-04
    13       1   6.25453503e-02   5.33111376e-01
    13       2   1.80994175e-05   2.12874385e-03
    14       1   5.63173811e-02   5.14632560e-01
    14       2   4.81716304e-05   5.29184148e-03
    14       3   4.26803899e-06   2.05315633e-04
    15       1   5.03240536e-02   4.95781055e-01
    15       2   2.98784072e-05   2.59465335e-03
    16       1   4.71474756e-02   4.97056495e-01
    16       2   1.29115578e-05   5.52064760e-03
    16       3   1.72982433e-06   4.68559255e-04
    17       1   4.49115131e-02   5.11239849e-01
    17       2   2.76986711e-05   3.44487679e-03
    18       1   4.29046863e-02   5.13708571e-01
    18       2   1.18557333e-05   5.64640426e-03
    18       3   3.46819693e-06   1.84130567e-04
    19       1   4.13532909e-02   5.13685045e-01
    19       2   3.39846912e-05   1.86003055e-03
    20       1   4.01937072e-02   5.28780148e-01
    20       2   3.92433406e-05   3.39944955e-03
    21       1   3.94737096e-02   5.54649413e-01
    21       2   4.86764291e-05   3.62240210e-03
    22       1   3.80169194e-02   5.71875108e-01
    22       2   2.74989135e-05   6.08874463e-03
    22       3   6.79046535e-06   1.82480138e-04
    23       1   3.61064226e-02   5.53494516e-01
    23       2   9.32221548e-06   2.13896779e-03
    24       1   3.57124750e-02   5.29131366e-01
    24       2   2.77414094e-05   2.32339926e-03
    25       1   3.59916188e-02   5.53776066e-01
    25       2   4.48001291e-05   9.00913836e-04
    26       1   3.46168855e-02   5.75623632e-01
    26       2   3.73417530e-05   3.26237962e-03
    27       1   3.29349415e-02   5.36218537e-01
    27       2   3.85926836e-06   7.56856898e-04
    28       1   3.18269458e-02   5.02710753e-01
    28       2   9.62628227e-06   8.19277902e-04
    29       1   3.09125907e-02   5.23545763e-01
    29       2   3.10623213e-05   1.72625183e-03
    30       1   3.02988973e-02   5.53005476e-01
    30       2   1.23532837e-05   5.84806256e-04
    31       1   2.99598369e-02   5.60515255e-01
    31       2   3.81165529e-06   5.27043227e-04
